 ,Aba,Abak,Abakaliki,Abeokuta,Abocho,Abraka,Abuja,Adani,Ado-Ekiti,Ado-Odo,Adoru,Afikpo,Agaie,Agbabu,Agbor,Agenebode,Ago-Are,Agulu,Ahoada,Ajaokuta,Ajasse Ipo,Akankpa,Ake-Eze,Akko,Aku,Akure,Akwanga,Alapa,Aliade,Amagunze,Amaigbo,Amassoma,Amper,Anchau,Anka,Ankpa,Apomu,Aramoko-Ekiti,Argungu,Arochukwu,Asaba,Atani,Auchi,Auna,Awgu,Awka,Azare,Babana,Babura,Badagry,Badeggi,Bagudo,Baissa,Bakori,Bama,Bara,Baro,Batsari,Bauchi,Bebeji,Beli,Bena,Bende,Benin City,Benisheikh,Bida,Billiri,Bin Yauri,Binji,Birnin Kebbi,Birnin Kudu,Birniwa,Biu,Bode Saadu,Boi,Boju,Bokani,Bokkos,Bomadi,Bonny,Bori,Bornu Yassu,Buga,Bugana,Buguma,Bukuru,Bununu,Burumburum,Burutu,Calabar,Chakwama,Dabai,Dadiya,Dakingari,Damasak,Damaturu,Dambatta,Damboa,Dan Gora,Dan Sadau,Dange,Danja,Dankalwa,Dankama,Dapchi,Darazo,Dass,Daura,Daura,Deba,Degema Hulk,Dekina,Dengi,Dikwa,Dindima,Disina,Doma,Dukku,Duku,Dutse,Dutsen Wai,Dutsin-Ma,Ebute Ikorodu,Effium,Efon-Alaaye,Egbe,Eha Amufu,Ejigbo,Ejirin,Eket,Ekpoma,Elele,Emure-Ekiti,Enugu,Enugu-Ezike,Enugu-Ukwu,Epe,Esuk Oron,Ete,Etinan,Ezza-Ohu,Fiditi,Funtua,Gabarin,Gagarawa,Gakem,Gamawa,Gamboru,Gandi,Ganye,Garko,Gashua,Gassol,Gaya,Gbongan,Geidam,Gembu,Gombe,Gombi,Goniri,Gora,Gorgoram,Goronyo,Gujba,Gulma,Gumel,Gummi,Gusau,Gwadabawa,Gwandu,Gwaram,Gwaram,Gwarzo,Gwasoro,Gwio Kura,Gwoza,Hadejia,Hinna,Holma,Hunkuyi,Ibadan,Ibeto,Ibi,Icheu,Idah,Idanre,Idiroko,Ifaki,Ifo,Ifon,Igabi,Igarra,Igbara-Odo,Igbeti,Igbo-Ora,Igbo-Ukwu,Igboho,Igbor,Igede-Ekiti,Ihiala,Iho,Ijebu-Ife,Ijebu-Igbo,Ijebu-Jesa,Ijebu-Ode,Ijero-Ekiti,Ikang,Ikeja,Ikem,Ikere-Ekiti,Ikire,Ikirun,Ikom,Ikot Ekpene,Ila Orangun,Ilare,Ilaro,Ilesa,Illela,Illushi,Ilobu,Ilorin,Imeko,Inisa,Iperu,Ipoti,Isanlu-Itedoijowa,Isara,Ise-Ekiti,Isieke,Itu,Iwo,Jalingo,Jebba,Jega,Jibia,Jikamshi,Jimeta,Jos,Kabba,Kachia,Kaduna,Kafanchan,Kafarati,Kafin Hausa,Kagoro,Kaiama,Kajuru,Kaltungo,Kamba,Kangiwa,Kankara,Kano,Kari,Katagum,Katsina,Katsina-Ala,Kaura Namoda,Kazaure,Keffi,Kende,Kibiya,Kisi,Kiyawa,Konduga,Konkwesso,Kontagora,Koton-Karfe,Kujama,Kuje,Kukawa,Kumagunnam,Kumo,Kura,Kusheriki,Kuta,Kwale,Kwali,Kwatarkwashi,Kwolla,Lafia,Lafiagi,Lagos,Lajere,Lalupon,Lame,Langtang,Lapai,Lau,Lekki,Lere,Lere,Lokoja,Machina,Madagali,Madala,Madara,Magumeri,Mahuta,Maiduguri,Maiyama,Makurdi,Mallammaduri,Malumfashi,Mando,Marte,Maru,Mashi,Mayo-Belwa,Mberubu,Minna,Miringa,Misau,Modakeke,Mokwa,Monguno,Moriki,Mubi,Musawa,Mutum Biyu,Nafada,Nasarawa,New Shagunnu,Ngala,Ngurore,Nguru,Nkpor,Nkwerre,Nnewi,Nsukka,Numan,Obiaruku,Obolo-Eke (1),Obonoma,Obubra,Obudu,Ochobo,Ode,Offa,Ogaminana,Ogoja,Ogurugu,Oguta,Ogwashi-Uku,Ohafia-Ifigh,Oke Ila,Oke Mesi,Okeho,Okene,Okigwe,Okrika,Okuta,Olupona,Omoku,Omu-Aran,Omuo-Ekiti,Ondo,Onitsha,Opi,Ore,Orerokpe,Orita Eruwa,Orlu,Orodo,Osogbo,Otan Ayegbaju,Otukpa,Owerri,Owo,Owode,Oyan,Oyo,Ozubulu,Pankshin,Panyam,Patani,Patigi,Pindiga,Port Harcourt,Potiskum,Rabah,Rano,Rijau,Ringim,Riti,Ruma,Runka,Sade,Saki,Samamiya,Saminaka,Sapele,Sauri,Shaffa,Shagamu,Shanga,Shani,Shinkafi,Siluko,Soba,Sofo-Birnin-Gwari,Sokoto,Suleja,Suya,Takai,Takum,Talata Mafara,Tambuwal,Tegina,Tokombere,Toungo,Tsafe,Twon-Brass,Uba,Ubiaja,Udi,Uga,Ugbokpo,Ugep,Ughelli,Ukata,Umuahia,Umunede,Uromi,Uruobo-Okija,Uyo,Vom,Wagini,Wamba,Warri,Wasagu,Wawa,Wudil,Wukari,Wurno,Wuyo,Yajiwa,Yamrat,Yanda Bayo,Yandev,Yashikira,Yelwa,Yenagoa,Yola,Yuli,Zadawa,Zaki Biam,Zalanga,Zango,Zaria,Zungeru,Zuru
Aba,,65.92,224.33,589.52,371.78,286.57,645.87,229.84,468.12,671.25,264.75,167.34,648.21,414.16,225.44,361.99,777.24,149.82,107.79,410.15,579.60,99.95,134.84,991.75,219.51,432.87,586.30,678.57,371.47,180.40,126.08,179.73,734.80,900.91,1205.69,309.38,545.38,497.12,1281.02,90.62,162.26,140.66,311.77,905.44,126.67,166.17,1062.74,1004.46,1162.05,665.65,668.46,1137.61,660.45,949.62,1272.58,963.00,571.31,1118.07,860.61,989.25,708.80,1051.24,76.69,289.61,1213.80,686.44,998.39,1017.08,1344.93,1228.95,1014.41,1244.57,1025.99,716.89,773.58,347.47,803.90,766.10,215.04,,88.48,1298.15,587.89,388.04,92.44,720.50,818.05,953.15,261.59,146.95,1046.70,1057.77,967.96,1162.07,1399.76,1154.76,1098.65,1122.66,974.78,943.95,1229.84,907.89,1180.23,1180.02,1254.95,962.64,828.85,1127.14,1173.71,1041.45,95.19,394.85,760.64,1302.96,897.52,1043.96,549.53,1010.40,1065.88,1063.27,906.34,1069.17,565.00,258.36,518.26,520.92,225.40,555.64,540.18,119.15,282.88,96.60,415.10,176.57,250.83,161.69,524.02,125.12,266.00,93.68,239.13,655.12,938.07,975.99,1171.98,415.02,1160.07,1354.01,1208.40,900.97,1025.82,1236.96,687.27,1094.30,516.66,1330.79,724.80,1013.60,1044.44,1180.56,999.66,1231.75,1346.07,1125.69,1271.24,1166.10,1156.70,1046.80,1314.47,1248.48,1030.58,917.15,988.12,940.10,1304.67,1216.12,1196.19,1052.99,1063.53,888.37,625.38,960.14,593.23,444.12,316.78,453.60,689.00,490.31,641.36,342.97,841.06,346.21,462.19,709.18,627.62,141.99,835.64,395.88,485.28,112.33,78.11,488.63,519.59,510.41,504.75,516.31,176.12,596.73,225.47,452.60,540.43,565.50,302.86,42.28,551.83,441.99,682.62,512.93,1360.57,238.94,554.67,661.89,661.31,549.17,538.49,522.02,477.25,565.03,420.35,233.02,75.72,550.26,774.52,738.89,1192.73,1176.43,1031.07,931.07,736.42,419.90,782.95,792.45,710.79,1023.23,1191.34,703.72,823.05,829.48,987.52,1214.57,1299.71,1003.47,1045.25,995.98,1140.07,1132.06,481.34,1101.01,1126.88,653.16,1132.94,963.50,759.93,1090.61,1246.93,1024.14,925.92,482.20,806.38,607.06,1390.90,1296.22,1019.25,1009.80,844.67,734.26,243.23,591.11,1029.53,643.95,526.98,622.21,606.22,1131.91,634.41,822.51,705.03,619.05,814.18,579.16,828.89,793.71,457.79,1322.48,1193.50,615.85,1073.17,1260.80,1084.95,1212.94,1176.19,432.59,1237.92,985.01,869.55,1343.67,1088.90,1153.90,875.11,149.99,689.54,1035.66,1010.73,535.58,775.94,1347.00,1139.06,1114.91,1031.26,699.12,1126.12,630.99,969.53,1349.50,905.20,1270.49,153.71,105.94,151.30,233.00,874.78,278.44,255.82,100.54,259.79,449.34,308.86,435.51,593.85,382.91,392.00,237.77,108.00,186.29,101.21,537.24,536.25,740.50,377.06,93.75,63.80,870.09,552.98,131.51,538.64,431.29,432.18,150.63,222.61,393.78,242.39,649.06,115.60,80.59,542.63,581.44,268.76,64.03,380.93,557.01,589.39,671.00,127.48,772.02,745.68,166.15,542.88,1038.98,61.01,1079.20,1245.17,1003.60,1015.43,1110.67,575.74,1131.85,1077.41,1014.04,796.57,999.68,812.44,278.45,1016.92,1032.63,535.94,1080.05,971.47,1162.14,368.58,928.06,915.20,1276.78,627.71,897.42,1063.22,559.89,1140.77,1229.47,782.90,1209.12,859.74,1005.33,209.24,1118.82,250.84,167.09,129.34,388.99,208.83,209.10,992.75,57.97,211.90,259.99,121.05,73.98,710.94,1109.89,611.42,246.94,1071.94,889.23,1074.98,557.03,1316.67,1030.18,1155.53,875.55,1041.24,438.75,939.24,111672.99,160.42,939.05,830.82,1029.51,509.75,911.21,1191.45,871.02,750.70,1051.92
Abak,65.85,,244.21,652.54,426.38,349.59,708.89,292.86,531.14,734.27,319.35,224.06,711.22,477.18,288.46,425.01,840.25,204.42,173.64,464.75,642.62,55.57,189.44,1046.35,274.11,495.89,640.90,741.59,426.07,235.00,117.17,245.58,789.40,955.51,1268.71,363.98,608.40,560.14,1344.04,74.54,225.28,203.67,374.79,968.46,181.27,220.77,1117.34,1067.48,1216.65,728.67,731.48,1200.63,627.06,1012.64,1263.07,1017.60,634.33,1181.09,915.21,1043.85,675.42,1114.25,124.48,352.63,1204.29,749.45,988.88,1080.10,1407.95,1291.97,1069.01,1299.17,1016.48,779.91,828.18,402.07,866.91,820.70,280.89,,130.25,1288.64,650.91,442.64,158.28,775.10,872.66,1007.75,327.44,102.57,1101.30,1120.79,958.45,1225.09,1390.25,1145.25,1153.25,1113.15,1029.38,1006.97,1292.86,970.91,1170.71,1243.04,1245.44,1017.24,883.45,1181.74,1228.31,1077.03,161.04,449.45,815.24,1293.45,952.12,1098.56,604.13,1065.00,1128.90,1117.87,960.94,1132.19,628.02,288.81,581.28,583.93,280.00,618.65,603.20,53.29,345.90,162.45,478.12,231.17,305.43,216.29,587.04,69.72,320.60,27.81,259.01,718.14,1001.09,1030.59,1226.58,381.63,1214.67,1344.49,1271.42,867.58,1037.61,1291.56,677.76,1148.90,579.68,1326.02,680.42,1049.17,1034.93,1171.05,1062.68,1286.35,1409.09,1116.18,1334.26,1220.70,1219.72,1109.82,1377.49,1311.50,1085.18,971.75,1051.14,1003.12,1363.50,1206.61,1250.79,1046.84,1054.02,951.39,688.40,1023.16,583.72,498.72,371.38,516.62,752.02,553.33,704.38,405.99,904.08,409.23,525.21,772.20,690.64,196.59,898.66,450.48,548.30,175.35,141.13,551.65,582.61,573.43,567.77,579.33,131.74,659.75,280.07,515.62,603.45,628.52,269.48,25.45,614.85,505.01,745.63,575.95,1423.59,301.96,617.69,724.91,724.33,612.19,601.51,585.03,540.26,628.05,483.37,252.90,40.04,613.28,765.01,801.91,1255.75,1239.45,1094.09,921.55,791.02,482.92,837.55,855.47,765.39,1058.81,1245.94,758.33,886.07,892.50,978.01,1277.59,1362.73,1066.49,1099.85,1050.58,1194.67,1195.08,447.95,1164.03,1181.48,707.76,1195.96,1018.10,822.95,1145.21,1237.42,1087.16,988.93,545.22,869.40,670.08,1381.39,1350.82,1009.73,1064.40,907.69,797.28,306.25,654.13,1092.55,698.55,581.58,685.23,669.24,1186.51,697.43,877.11,759.63,682.07,804.67,642.18,883.49,848.31,520.81,1377.08,1183.99,678.87,1127.77,1251.28,1147.97,1203.43,1239.21,487.19,1292.52,1048.03,932.57,1334.16,1151.92,1216.92,865.60,204.59,752.56,1026.15,1065.33,598.60,838.96,1337.49,1202.08,1105.40,1094.28,689.61,1161.70,694.01,1032.55,1339.99,895.69,1325.09,216.73,168.96,205.90,287.60,865.27,341.46,310.42,166.39,226.40,415.95,363.46,498.53,656.87,445.93,358.61,300.79,171.01,249.31,97.13,600.26,599.27,803.52,440.08,148.35,129.65,933.11,616.00,197.36,601.66,494.31,495.20,213.65,277.21,456.80,308.24,712.08,178.62,143.61,605.65,644.46,323.36,127.05,443.95,620.03,652.41,734.02,190.50,826.62,800.28,232.00,605.90,1029.47,126.86,1133.80,1308.19,1058.20,1078.45,1165.27,566.23,1194.87,1140.43,1068.64,859.59,1054.28,867.04,344.30,1079.94,1023.11,598.96,1143.07,961.96,1225.16,431.60,982.66,978.22,1339.80,690.73,960.44,1117.82,526.50,1203.79,1292.48,845.92,1199.61,826.36,1068.35,275.09,1109.31,313.86,221.69,183.94,443.59,174.58,274.95,1055.77,105.77,274.92,323.01,184.07,20.97,765.54,1172.90,666.02,312.79,1134.95,952.25,1129.58,547.52,1379.69,1020.67,1146.02,930.15,1095.84,480.98,1002.26,727.59,226.27,929.54,885.43,1084.11,499.46,965.81,1246.05,934.04,813.72,1114.94
Abakaliki,224.86,244.17,,613.29,265.92,310.34,542.68,178.39,508.40,695.02,158.90,65.08,545.02,437.92,249.21,339.38,801.00,157.95,263.43,304.30,577.93,188.65,90.23,829.16,129.32,456.64,480.45,644.74,265.61,77.36,79.81,335.37,628.94,795.06,1052.55,203.52,569.15,520.39,1137.33,135.73,186.03,190.26,335.54,865.17,123.05,138.61,956.89,964.20,1056.20,689.42,565.27,993.91,397.25,846.43,1033.27,857.15,468.12,1014.89,754.76,883.39,445.61,898.09,128.68,313.38,974.48,583.25,759.07,873.38,1191.78,1085.25,908.55,1138.72,786.67,676.62,667.72,241.62,763.63,660.25,370.67,,308.17,1058.83,484.70,282.18,303.90,614.65,712.20,847.30,380.00,191.74,940.84,904.62,728.64,1018.37,1160.44,915.44,992.80,883.34,868.92,840.76,1126.65,804.71,940.91,1131.75,1015.63,856.78,722.99,1021.29,1067.85,847.22,304.74,289.00,654.78,1063.65,791.66,938.10,443.68,904.55,912.74,957.42,800.48,965.98,588.77,48.15,542.03,485.55,66.00,579.40,563.95,280.57,306.65,241.97,443.74,77.45,144.98,149.52,547.79,286.46,160.14,255.10,16.91,678.89,834.88,870.14,1066.12,151.82,1054.21,1114.69,1105.21,637.78,807.80,1131.11,447.95,988.45,540.43,1096.21,675.77,819.37,805.12,941.24,896.47,1125.90,1192.92,886.37,1127.54,1060.25,1003.56,943.61,1161.33,1090.67,924.72,811.29,926.86,786.75,1133.69,976.80,1090.34,817.04,824.21,785.18,649.15,816.45,353.91,338.27,210.92,477.37,712.77,487.31,665.13,366.74,737.87,369.97,485.96,675.35,651.39,165.85,720.29,290.03,509.29,209.35,174.88,512.40,543.36,534.18,528.52,514.64,220.90,620.50,80.68,476.37,564.20,589.27,163.76,247.33,550.16,465.76,706.38,536.70,1207.42,262.71,578.43,618.93,685.08,572.94,562.26,520.35,441.88,588.79,449.27,12.25,215.11,574.03,535.20,698.63,1049.03,1131.82,979.54,691.75,630.57,384.53,677.09,689.26,604.93,829.00,1085.49,597.87,789.23,758.63,748.20,1070.87,1156.02,900.28,939.40,890.12,1034.21,1087.09,218.14,997.82,1021.03,547.31,989.24,857.65,726.10,984.76,1007.61,983.88,776.56,379.01,703.19,503.87,1151.58,1190.37,779.93,903.94,741.48,631.07,267.00,487.92,926.34,538.10,421.13,586.85,629.99,1026.06,658.18,716.66,599.18,515.87,574.86,602.93,723.04,687.86,342.21,1216.62,954.18,512.66,967.32,1021.48,931.81,973.63,1032.49,326.74,1132.06,881.82,766.36,1104.35,985.71,1102.37,635.79,88.61,586.35,796.34,904.88,559.35,735.68,1107.68,1035.87,875.59,979.73,459.80,931.89,370.83,929.27,1110.18,665.88,1164.64,167.84,163.43,188.33,127.14,635.46,302.21,97.37,312.01,120.69,186.14,203.00,431.53,591.70,347.55,112.81,186.22,230.57,210.06,104.82,535.57,542.99,764.26,341.70,130.94,283.48,893.86,576.75,276.23,536.97,427.24,455.95,173.22,116.75,417.55,341.77,672.83,173.09,180.80,566.40,566.70,162.90,189.24,404.69,580.78,568.61,694.77,198.49,666.16,639.83,321.78,507.52,799.66,280.69,973.34,1141.98,897.74,862.29,1004.82,336.42,1028.66,974.22,908.19,820.34,893.83,706.58,367.41,913.73,793.31,559.71,936.36,732.15,1058.95,392.35,822.20,812.01,1123.64,524.53,921.19,957.37,296.69,1037.58,1085.77,679.71,969.80,596.55,902.14,364.87,879.50,274.61,98.72,166.37,283.14,69.73,327.51,839.61,174.06,235.67,283.76,204.48,228.56,605.08,1006.70,505.57,365.35,918.79,848.97,969.13,317.72,1163.53,790.86,916.21,769.70,935.39,251.18,963.01,567.14,316.05,699.74,724.97,923.66,269.65,805.36,1085.60,767.84,647.51,898.77
Abeokuta,593.83,656.95,620.53,,524.56,416.15,720.01,524.40,308.99,97.77,562.44,600.61,533.28,222.02,371.36,486.96,250.25,487.62,542.52,480.27,291.96,690.98,568.11,1180.36,569.39,264.98,840.69,268.06,693.65,556.32,609.06,553.29,1030.27,871.30,795.18,586.72,119.52,237.56,870.52,638.52,435.90,457.80,435.19,494.93,546.97,482.27,1124.44,593.95,1042.96,170.46,512.40,727.10,984.08,776.89,1530.21,1151.62,573.59,945.34,1049.23,881.30,1032.44,640.73,587.42,307.17,1384.85,495.95,1252.20,606.57,934.42,818.44,1056.71,1162.43,1329.21,306.38,1035.26,622.98,393.39,954.72,485.15,,632.32,1441.38,701.81,617.41,587.43,909.11,1044.57,925.65,439.56,737.98,1084.76,647.26,1308.47,751.56,1459.35,1325.81,979.56,1425.88,865.82,692.96,886.67,802.72,1351.27,1007.28,1339.27,1151.25,1050.21,1277.05,1012.36,1230.06,573.39,561.71,1062.11,1548.68,1086.13,1117.79,922.91,1199.01,655.37,1033.72,843.81,896.44,110.18,631.71,221.69,384.00,598.74,223.65,160.77,710.19,377.90,581.35,324.79,547.22,606.42,472.28,119.46,716.15,594.25,684.72,619.65,128.14,765.33,1164.61,1067.27,770.70,1179.36,1599.72,942.40,1224.61,1214.43,1252.63,1009.46,986.36,143.23,1358.50,1262.60,1202.21,1421.09,1392.16,826.93,1278.69,935.56,1351.07,860.73,1059.34,746.19,837.58,903.96,837.97,1112.00,1105.76,862.58,413.11,1332.38,1587.28,1114.05,1241.60,1544.71,802.12,98.40,549.63,915.42,584.45,518.91,266.02,114.48,378.44,48.05,347.62,768.82,403.37,242.69,298.67,38.90,485.77,308.66,718.07,249.14,482.62,542.94,105.30,130.39,202.67,92.26,251.92,767.15,101.54,622.99,293.48,120.65,200.73,736.13,633.32,233.04,250.81,59.82,192.16,950.06,438.89,187.58,251.38,72.60,177.06,62.85,367.48,425.88,71.49,317.63,609.52,666.76,131.53,1096.70,328.38,782.22,1003.70,858.34,1253.25,925.03,481.76,803.77,734.39,805.19,1211.84,1100.45,817.77,412.54,788.36,1263.83,804.06,889.20,830.73,930.11,1184.59,1151.29,959.32,804.97,891.79,969.70,776.29,722.43,919.39,349.42,1055.28,1495.37,613.64,515.41,596.12,765.25,699.52,1577.20,1214.08,1231.22,901.85,593.68,632.89,475.15,681.79,820.31,1015.56,900.36,374.84,111.03,1280.11,107.43,1011.13,1076.63,561.38,1136.36,197.89,919.24,989.02,571.71,1240.34,1573.87,661.01,1161.29,1506.51,674.44,1458.85,765.68,754.78,1133.75,812.27,618.56,1589.38,861.76,981.16,1197.29,567.02,582.27,1338.88,1177.02,134.00,365.43,1592.71,929.84,1495.28,858.53,1021.31,1311.61,744.91,559.02,1595.22,1227.38,1188.35,451.70,513.05,469.13,586.42,1196.96,423.26,609.24,595.53,693.06,852.20,631.04,434.15,229.09,417.30,731.69,532.34,503.83,416.09,611.94,243.58,228.51,117.97,413.26,531.41,607.64,343.11,136.40,557.93,328.67,438.40,226.60,448.79,576.03,201.64,399.42,60.34,503.82,521.13,181.89,216.68,594.81,530.58,309.57,41.27,224.63,144.02,472.05,994.22,966.04,476.72,412.32,1247.35,595.56,1226.11,904.76,908.13,604.92,1005.96,897.92,959.11,904.67,1202.66,269.59,1081.10,912.04,371.67,798.18,1352.86,57.83,669.55,1340.16,952.92,288.89,821.74,664.21,866.27,651.47,370.44,1008.79,883.52,881.42,818.96,531.90,1512.34,1183.38,796.11,582.80,1499.19,410.96,526.23,492.74,684.98,642.10,428.35,582.24,570.26,384.52,403.09,477.75,665.02,899.55,937.15,865.88,407.51,661.43,478.72,967.04,879.22,906.16,1264.77,1458.75,1079.83,1203.63,760.94,412.26,1044.60,533.98,1261.24,1167.41,1157.38,831.93,1099.83,1030.10,784.78,565.42,641.41
Abocho,372.54,426.64,266.92,521.82,,344.30,258.98,199.00,278.10,636.45,123.42,311.73,261.32,376.84,285.78,109.07,548.78,262.62,411.12,73.99,347.62,451.88,275.88,824.99,170.18,267.09,419.55,414.44,204.71,236.66,320.18,483.06,568.04,570.66,768.85,84.89,411.26,290.08,853.63,376.10,290.71,294.94,171.03,593.48,247.59,243.29,895.98,733.89,753.46,630.84,281.57,710.21,495.14,562.73,1105.83,796.24,184.42,731.19,693.86,580.66,543.50,614.39,338.91,298.82,1047.04,299.55,831.63,589.68,908.08,801.55,847.65,858.56,859.23,446.32,606.82,121.15,434.09,599.34,476.05,,455.86,1131.39,201.00,112.14,451.59,553.74,651.30,625.00,430.46,454.97,879.94,620.92,801.20,734.67,1233.00,988.00,690.07,955.90,565.17,557.06,842.95,521.01,1013.47,793.13,1088.20,795.88,662.09,960.38,765.12,874.69,452.43,27.32,593.88,1136.21,730.76,877.20,382.77,843.64,629.04,733.08,543.17,682.28,570.56,278.10,311.12,255.25,175.72,403.48,502.63,479.88,218.41,389.66,213.43,198.03,117.48,254.20,486.47,485.84,105.31,454.40,266.04,470.56,551.18,809.23,763.39,367.81,878.71,1187.25,821.51,735.66,859.06,948.75,520.52,685.71,382.54,1054.62,773.66,846.84,877.68,1013.80,612.77,1064.99,909.22,958.93,843.84,757.51,719.86,659.91,877.63,806.97,863.82,750.39,601.23,556.44,1028.50,1049.36,810.17,886.23,896.77,501.48,440.52,532.75,426.47,46.73,83.19,287.82,654.19,257.01,606.56,253.17,454.17,155.99,296.41,445.04,560.72,270.53,489.98,229.12,278.99,314.03,322.57,451.09,482.05,332.22,467.21,284.33,484.13,561.92,160.56,292.31,406.31,391.52,426.99,403.01,319.85,276.21,647.81,334.74,923.72,259.07,376.48,388.62,594.41,397.01,502.55,290.04,211.58,498.85,218.96,255.91,436.45,414.65,607.76,468.32,765.33,789.54,644.18,764.31,569.66,154.23,399.36,405.56,397.96,856.47,799.80,412.94,558.92,442.60,820.76,787.17,872.32,616.58,636.66,829.22,850.64,745.17,316.03,714.12,718.29,285.24,705.54,618.75,495.79,754.64,1080.17,753.57,492.86,95.31,419.49,220.17,1224.14,910.21,852.49,601.21,457.78,347.37,371.68,204.23,642.64,477.19,360.22,356.55,571.41,965.15,438.78,655.75,538.27,232.17,647.42,658.27,662.13,626.95,58.51,936.46,1026.75,228.96,906.42,1094.04,648.11,1046.19,748.79,265.83,831.92,598.12,482.66,1176.91,702.01,767.01,708.35,247.27,302.65,868.90,843.98,401.46,505.37,1180.24,752.17,948.15,644.37,532.36,959.36,244.10,698.96,1182.74,738.44,884.47,272.52,311.12,277.06,149.92,708.02,336.18,146.82,459.69,383.92,363.26,142.10,201.22,361.39,117.24,276.52,206.83,335.24,314.74,345.19,305.26,312.68,555.94,111.39,281.41,431.17,574.40,419.94,423.92,306.66,196.94,312.21,277.89,150.55,356.46,375.74,508.55,302.00,328.49,364.44,336.39,105.87,336.93,218.19,522.56,338.30,494.96,293.92,605.26,578.92,469.47,277.22,872.22,428.38,912.44,858.28,607.48,578.59,702.09,408.98,744.96,690.52,847.28,566.90,832.92,645.68,362.57,630.03,865.87,518.58,652.66,804.71,775.25,371.74,521.10,528.31,839.94,240.83,601.73,708.14,394.58,753.88,802.07,396.01,1042.36,694.43,618.44,512.56,952.06,231.15,209.72,281.12,183.15,332.96,419.25,555.91,321.75,297.44,223.27,309.16,434.71,544.18,723.00,444.66,398.41,635.09,618.66,666.39,390.28,879.83,863.42,988.77,708.79,874.48,271.99,643.55,506.23,463.74,772.30,664.07,862.75,342.99,744.46,782.86,484.14,363.81,615.07
